"","datetimeAK","site.ID","fDOM","SPC","Turb","NO3","ABS_254","Q"
"10594",2015-09-01 14:30:00,"FRCH",115.898720235496,59.7,31.66,23.0481870684211,0.536866666666667,NA
"10595",2015-09-01 14:45:00,"FRCH",114.054859867617,59.7,34.92,23.0731691156664,0.5362,NA
"10596",2015-09-01 15:00:00,"FRCH",113.76101606489,59.7,25.92,23.1231332101568,0.535566666666667,2081.65240076009
"10597",2015-09-01 15:15:00,"FRCH",113.368814359833,59.8,27.94,23.0731691156664,0.536066666666667,NA
"10598",2015-09-01 15:30:00,"FRCH",113.116337164805,59.8,26.95,23.1012739188173,0.5345,NA
"10599",2015-09-01 15:45:00,"FRCH",113.57557744184,59.8,26.88,23.1043966747229,0.533866666666667,NA
"10600",2015-09-01 16:00:00,"FRCH",113.774339971724,59.9,21.91,23.1512380133077,0.5352,2051.21153612757
"10601",2015-09-01 16:15:00,"FRCH",114.164423580086,59.9,29.56,23.0669236038551,0.532233333333333,NA
"10602",2015-09-01 16:30:00,"FRCH",114.638825240045,60,43.14,23.166851792836,0.534033333333333,NA
"10603",2015-09-01 16:45:00,"FRCH",114.987662965391,60,33.59,23.1106421865343,0.532633333333333,NA
"10604",2015-09-01 17:00:00,"FRCH",115.344905585634,60,36.24,23.1574835251191,0.5329,2051.21153612757
"10605",2015-09-01 17:15:00,"FRCH",116.486690164776,60.1,28.13,23.1168876983456,0.5318,NA
"10606",2015-09-01 17:30:00,"FRCH",115.807551565975,60.1,32.31,23.2980075408735,0.531666666666667,NA
"10607",2015-09-01 17:45:00,"FRCH",115.652784147988,60.1,30.16,23.1699745487417,0.530233333333333,NA
"10608",2015-09-01 18:00:00,"FRCH",115.76417047035,60.1,65.66,23.095028407006,0.531066666666667,1994.27305776225
"10609",2015-09-01 18:15:00,"FRCH",115.848578239232,60.1,25.68,23.2386751786661,0.529633333333333,NA
"10610",2015-09-01 18:30:00,"FRCH",115.824435258647,60.1,29.78,23.1699745487417,0.5291,NA
"10611",2015-09-01 18:45:00,"FRCH",115.520508283005,60.2,29.19,23.1699745487417,0.5285,NA
"10612",2015-09-01 19:00:00,"FRCH",114.170674739121,60.2,30.42,23.2230613991378,0.529033333333333,1982.74628376963
"10613",2015-09-01 19:15:00,"FRCH",114.747968405737,60.2,29,23.1824655723643,0.528133333333333,NA
"10614",2015-09-01 19:30:00,"FRCH",115.145833321235,60.3,23.24,23.1949565959869,0.5266,NA
"10615",2015-09-01 19:45:00,"FRCH",114.909989201042,60.3,31.27,23.2636572259113,0.525933333333333,NA
"10616",2015-09-01 20:00:00,"FRCH",115.19590572445,60.3,34.66,23.1418697455908,0.525966666666667,1987.12194092601
"10617",2015-09-01 20:15:00,"FRCH",115.186042780595,60.4,39.51,23.3823219503262,0.525233333333333,NA
"10618",2015-09-01 20:30:00,"FRCH",115.463183099263,60.4,25.75,23.2074476196095,0.5251,NA
"10619",2015-09-01 20:45:00,"FRCH",116.182293695077,60.4,29.49,23.2386751786661,0.524633333333333,NA
"10620",2015-09-01 21:00:00,"FRCH",115.662267433662,60.5,29.2,23.2542889581943,0.5233,1931.68091358071
"10621",2015-09-01 21:15:00,"FRCH",115.731870333105,60.5,31.63,23.2511662022887,0.522666666666667,NA
"10622",2015-09-01 21:30:00,"FRCH",115.521898834042,60.5,60.49,23.3448488794583,0.5215,NA
"10623",2015-09-01 21:45:00,"FRCH",115.844480722955,60.6,29.37,23.2699027377226,0.521433333333333,NA
"10624",2015-09-01 22:00:00,"FRCH",115.597158269801,60.6,35.28,23.2199386432322,0.5204,1974.97278802223
"10625",2015-09-01 22:15:00,"FRCH",115.264105573149,60.6,22.71,23.3167440763074,0.521333333333333,NA
"10626",2015-09-01 22:30:00,"FRCH",113.740814833105,60.7,39.32,23.2855165172509,0.519466666666667,NA
"10627",2015-09-01 22:45:00,"FRCH",113.73857977622,60.7,30.16,23.2699027377226,0.518266666666667,NA
"10628",2015-09-01 23:00:00,"FRCH",113.288085615466,60.7,26.85,23.3448488794583,0.517133333333333,NA
"10629",2015-09-01 23:15:00,"FRCH",114.025035641457,60.8,22.35,23.2417979345717,0.517366666666667,NA
"10630",2015-09-01 23:30:00,"FRCH",113.523932765016,60.8,28.07,23.2886392731565,0.516766666666667,NA
"10631",2015-09-01 23:45:00,"FRCH",113.793322982848,60.8,31.5,23.2730254936282,0.516533333333333,NA
"10632",2015-09-02 00:00:00,"FRCH",113.42739942503,60.8,33.6,23.2605344700057,0.514966666666667,1901.702072924
"10633",2015-09-02 00:15:00,"FRCH",112.898414392301,60.8,26.4,23.2948847849679,0.514266666666667,NA
"10634",2015-09-02 00:30:00,"FRCH",113.091988859073,60.8,38.28,23.3760764385148,0.5149,NA
"10635",2015-09-02 00:45:00,"FRCH",112.826751257365,60.9,29.4,23.2324296668548,0.512733333333333,NA
