"inst_rainfall_mm","Datetime","Site"
0.6,2019-08-15 21:22:00,"FRCH"
0.8,2019-08-15 21:37:00,"FRCH"
0.8,2019-08-15 21:52:00,"FRCH"
0.6,2019-08-15 22:07:00,"FRCH"
0.8,2019-08-15 22:22:00,"FRCH"
0.8,2019-08-15 22:37:00,"FRCH"
1,2019-08-15 22:52:00,"FRCH"
0.8,2019-08-15 23:07:00,"FRCH"
1,2019-08-15 23:22:00,"FRCH"
0.8,2019-08-15 23:37:00,"FRCH"
1,2019-08-15 23:52:00,"FRCH"
0.6,2019-08-16 00:07:00,"FRCH"
0.8,2019-08-16 00:22:00,"FRCH"
0.8,2019-08-16 00:37:00,"FRCH"
1,2019-08-16 00:52:00,"FRCH"
1.2,2019-08-16 01:07:00,"FRCH"
1.4,2019-08-16 01:22:00,"FRCH"
0.8,2019-08-16 01:37:00,"FRCH"
0.4,2019-08-16 01:52:00,"FRCH"
0.4,2019-08-16 02:07:00,"FRCH"
