"","site.ID","datetimeAK","Q","day","fDOM","SPC","Turb","NO3","DateTime","MeanDischarge","nitrateuM","fDOM.QSU.mn","SpCond.uScm.mn","Turbidity.FNU.mn"
"74","VAUL",2019-07-30 07:45:00,107.559541346964,2019-07-30,227.782222222222,492.011111111111,7.60111111111111,11.2731175600169,2019-07-30 07:45:00,107.559541346964,11.2731175600169,227.782222222222,492.011111111111,7.60111111111111
"75","VAUL",2019-07-30 08:00:00,106.957528988678,2019-07-30,227.767777777778,491.488888888889,7.44888888888889,11.2407376568879,2019-07-30 08:00:00,106.957528988678,11.2407376568879,227.767777777778,491.488888888889,7.44888888888889
"76","VAUL",2019-07-30 08:15:00,107.158199774773,2019-07-30,227.785555555556,490.988888888889,7.58444444444444,11.2036479496674,2019-07-30 08:15:00,107.158199774773,11.2036479496674,227.785555555556,490.988888888889,7.58444444444444
"77","VAUL",2019-07-30 08:30:00,106.957528988678,2019-07-30,227.728888888889,490.488888888889,7.5,11.2383827548421,2019-07-30 08:30:00,106.957528988678,11.2383827548421,227.728888888889,490.488888888889,7.5
"78","VAUL",2019-07-30 08:45:00,106.756858202583,2019-07-30,227.713333333333,489.888888888889,7.40666666666667,11.1536062811953,2019-07-30 08:45:00,106.756858202583,11.1536062811953,227.713333333333,489.888888888889,7.40666666666667
"79","VAUL",2019-07-30 09:00:00,106.957528988678,2019-07-30,227.813333333333,489.422222222222,7.53777777777778,11.1942283414844,2019-07-30 09:00:00,106.957528988678,11.1942283414844,227.813333333333,489.422222222222,7.53777777777778
"80","VAUL",2019-07-30 09:15:00,106.957528988678,2019-07-30,227.932222222222,488.9,7.57777777777778,11.1229925546006,2019-07-30 09:15:00,106.957528988678,11.1229925546006,227.932222222222,488.9,7.57777777777778
"81","VAUL",2019-07-30 09:30:00,107.158199774773,2019-07-30,227.957777777778,488.166666666667,7.60777777777778,11.1547837322182,2019-07-30 09:30:00,107.158199774773,11.1547837322182,227.957777777778,488.166666666667,7.60777777777778
"82","VAUL",2019-07-30 09:45:00,107.158199774773,2019-07-30,228.032222222222,487.433333333333,7.26444444444444,11.2101239302932,2019-07-30 09:45:00,107.158199774773,11.2101239302932,228.032222222222,487.433333333333,7.26444444444444
"83","VAUL",2019-07-30 10:00:00,107.358870560869,2019-07-30,228.066666666667,486.677777777778,7.45888888888889,11.119460201532,2019-07-30 10:00:00,107.358870560869,11.119460201532,228.066666666667,486.677777777778,7.45888888888889
"84","VAUL",2019-07-30 10:15:00,106.957528988678,2019-07-30,228.09,485.877777777778,7.24666666666667,11.1141616719291,2019-07-30 10:15:00,106.957528988678,11.1141616719291,228.09,485.877777777778,7.24666666666667
"85","VAUL",2019-07-30 10:30:00,106.756858202583,2019-07-30,228.238888888889,485.177777777778,7.73777777777778,11.1453641240352,2019-07-30 10:30:00,106.756858202583,11.1453641240352,228.238888888889,485.177777777778,7.73777777777778
"86","VAUL",2019-07-30 10:45:00,106.957528988678,2019-07-30,228.387777777778,484.477777777778,7.52444444444444,11.1459528495466,2019-07-30 10:45:00,106.957528988678,11.1459528495466,228.387777777778,484.477777777778,7.52444444444444
"87","VAUL",2019-07-30 11:00:00,106.556187416488,2019-07-30,228.494444444444,483.744444444444,7.44333333333333,11.2460361864908,2019-07-30 11:00:00,106.556187416488,11.2460361864908,228.494444444444,483.744444444444,7.44333333333333
"88","VAUL",2019-07-30 11:15:00,106.556187416488,2019-07-30,228.64,482.977777777778,7.48333333333333,11.174800399607,2019-07-30 11:15:00,106.556187416488,11.174800399607,228.64,482.977777777778,7.48333333333333
"89","VAUL",2019-07-30 11:30:00,106.556187416488,2019-07-30,228.755555555556,482.3,7.48666666666667,11.1647920659126,2019-07-30 11:30:00,106.556187416488,11.1647920659126,228.755555555556,482.3,7.48666666666667
"90","VAUL",2019-07-30 11:45:00,106.556187416488,2019-07-30,228.946666666667,481.455555555556,7.52888888888889,11.2036479496674,2019-07-30 11:45:00,106.556187416488,11.2036479496674,228.946666666667,481.455555555556,7.52888888888889
"91","VAUL",2019-07-30 12:00:00,106.556187416488,2019-07-30,228.976666666667,480.477777777778,7.34444444444444,11.2307293231935,2019-07-30 12:00:00,106.556187416488,11.2307293231935,228.976666666667,480.477777777778,7.34444444444444
"92","VAUL",2019-07-30 12:15:00,106.756858202583,2019-07-30,228.988888888889,479.577777777778,7.51444444444444,11.1789214781871,2019-07-30 12:15:00,106.756858202583,11.1789214781871,228.988888888889,479.577777777778,7.51444444444444
"93","VAUL",2019-07-30 12:30:00,106.556187416488,2019-07-30,228.795555555556,478.877777777778,7.40777777777778,11.2513347160937,2019-07-30 12:30:00,106.556187416488,11.2513347160937,228.795555555556,478.877777777778,7.40777777777778
"94","VAUL",2019-07-30 12:45:00,106.756858202583,2019-07-30,228.693333333333,478.122222222222,7.33333333333333,11.2931342274057,2019-07-30 12:45:00,106.756858202583,11.2931342274057,228.693333333333,478.122222222222,7.33333333333333
"95","VAUL",2019-07-30 13:00:00,106.957528988678,2019-07-30,228.613333333333,477.377777777778,7.56222222222222,11.212478832339,2019-07-30 13:00:00,106.957528988678,11.212478832339,228.613333333333,477.377777777778,7.56222222222222
"96","VAUL",2019-07-30 13:15:00,106.556187416488,2019-07-30,228.41,476.622222222222,7.5,11.2413263823993,2019-07-30 13:15:00,106.556187416488,11.2413263823993,228.41,476.622222222222,7.5
"97","VAUL",2019-07-30 13:30:00,106.154845844298,2019-07-30,228.431111111111,476,7.79777777777778,11.2460361864908,2019-07-30 13:30:00,106.154845844298,11.2460361864908,228.431111111111,476,7.79777777777778
"98","VAUL",2019-07-30 13:45:00,107.158199774773,2019-07-30,228.513333333333,475.188888888889,7.66777777777778,11.1088631423261,2019-07-30 13:45:00,107.158199774773,11.1088631423261,228.513333333333,475.188888888889,7.66777777777778
"99","VAUL",2019-07-30 14:00:00,107.158199774773,2019-07-30,228.687777777778,474.611111111111,7.72888888888889,11.1277023586921,2019-07-30 14:00:00,107.158199774773,11.1277023586921,228.687777777778,474.611111111111,7.72888888888889
"100","VAUL",2019-07-30 14:15:00,107.358870560869,2019-07-30,228.787777777778,473.9,7.40888888888889,11.1300572607378,2019-07-30 14:15:00,107.358870560869,11.1300572607378,228.787777777778,473.9,7.40888888888889
"101","VAUL",2019-07-30 14:30:00,107.760212133059,2019-07-30,229.095555555556,473.311111111111,7.43666666666667,11.1777440271642,2019-07-30 14:30:00,107.760212133059,11.1777440271642,229.095555555556,473.311111111111,7.43666666666667
"102","VAUL",2019-07-30 14:45:00,107.158199774773,2019-07-30,229.157777777778,472.644444444444,7.43777777777778,11.1176940249977,2019-07-30 14:45:00,107.158199774773,11.1176940249977,229.157777777778,472.644444444444,7.43777777777778
"103","VAUL",2019-07-30 15:00:00,107.158199774773,2019-07-30,229.33,471.911111111111,7.47888888888889,11.0717734351056,2019-07-30 15:00:00,107.158199774773,11.0717734351056,229.33,471.911111111111,7.47888888888889
"104","VAUL",2019-07-30 15:15:00,107.559541346964,2019-07-30,229.503333333333,471.266666666667,7.37,11.1118067698833,2019-07-30 15:15:00,107.559541346964,11.1118067698833,229.503333333333,471.266666666667,7.37
"105","VAUL",2019-07-30 15:30:00,107.358870560869,2019-07-30,229.596666666667,470.555555555556,7.15888888888889,11.1000322596546,2019-07-30 15:30:00,107.358870560869,11.1000322596546,229.596666666667,470.555555555556,7.15888888888889
"106","VAUL",2019-07-30 15:45:00,107.158199774773,2019-07-30,229.727777777778,470.077777777778,7.22333333333333,11.0535229442511,2019-07-30 15:45:00,107.158199774773,11.0535229442511,229.727777777778,470.077777777778,7.22333333333333
"107","VAUL",2019-07-30 16:00:00,106.756858202583,2019-07-30,229.822222222222,469.455555555556,7.01555555555556,11.1088631423261,2019-07-30 16:00:00,106.756858202583,11.1088631423261,229.822222222222,469.455555555556,7.01555555555556
"108","VAUL",2019-07-30 16:15:00,106.756858202583,2019-07-30,229.948888888889,468.888888888889,7.08777777777778,11.0735396116399,2019-07-30 16:15:00,106.756858202583,11.0735396116399,229.948888888889,468.888888888889,7.08777777777778
"109","VAUL",2019-07-30 16:30:00,107.559541346964,2019-07-30,230.031111111111,468.266666666667,7.01222222222222,11.142420496478,2019-07-30 16:30:00,107.559541346964,11.142420496478,230.031111111111,468.266666666667,7.01222222222222
"110","VAUL",2019-07-30 16:45:00,107.559541346964,2019-07-30,230.146666666667,467.844444444444,6.75555555555556,11.0835479453344,2019-07-30 16:45:00,107.559541346964,11.0835479453344,230.146666666667,467.844444444444,6.75555555555556
"111","VAUL",2019-07-30 17:00:00,107.960882919154,2019-07-30,230.305555555556,467.266666666667,6.94666666666667,10.9970052951532,2019-07-30 17:00:00,107.960882919154,10.9970052951532,230.305555555556,467.266666666667,6.94666666666667
"112","VAUL",2019-07-30 17:15:00,108.161553705249,2019-07-30,230.444444444444,466.722222222222,6.88444444444445,11.0476356891367,2019-07-30 17:15:00,108.161553705249,11.0476356891367,230.444444444444,466.722222222222,6.88444444444445
"113","VAUL",2019-07-30 17:30:00,108.161553705249,2019-07-30,230.424444444444,466.4,6.76888888888889,11.142420496478,2019-07-30 17:30:00,108.161553705249,11.142420496478,230.424444444444,466.4,6.76888888888889
"114","VAUL",2019-07-30 17:45:00,107.760212133059,2019-07-30,230.356666666667,465.966666666667,6.83555555555556,11.1053307892575,2019-07-30 17:45:00,107.760212133059,11.1053307892575,230.356666666667,465.966666666667,6.83555555555556
"115","VAUL",2019-07-30 18:00:00,107.760212133059,2019-07-30,230.28,465.444444444444,6.76888888888889,11.0635312779455,2019-07-30 18:00:00,107.760212133059,11.0635312779455,230.28,465.444444444444,6.76888888888889
"116","VAUL",2019-07-30 18:15:00,107.760212133059,2019-07-30,230.331111111111,465.022222222222,6.83555555555556,11.0617651014112,2019-07-30 18:15:00,107.760212133059,11.0617651014112,230.331111111111,465.022222222222,6.83555555555556
"117","VAUL",2019-07-30 18:30:00,107.960882919154,2019-07-30,230.316666666667,464.722222222222,6.51222222222222,11.1341783393179,2019-07-30 18:30:00,107.960882919154,11.1341783393179,230.316666666667,464.722222222222,6.51222222222222
"118","VAUL",2019-07-30 18:45:00,108.161553705249,2019-07-30,230.396666666667,464.477777777778,6.64555555555556,11.0234979431679,2019-07-30 18:45:00,108.161553705249,11.0234979431679,230.396666666667,464.477777777778,6.64555555555556
"119","VAUL",2019-07-30 19:00:00,107.559541346964,2019-07-30,230.42,464.255555555556,6.5,11.1730342230727,2019-07-30 19:00:00,107.559541346964,11.1730342230727,230.42,464.255555555556,6.5
"120","VAUL",2019-07-30 19:15:00,108.161553705249,2019-07-30,230.433333333333,464.133333333333,6.55,11.1017984361889,2019-07-30 19:15:00,108.161553705249,11.1017984361889,230.433333333333,464.133333333333,6.55
"121","VAUL",2019-07-30 19:30:00,108.161553705249,2019-07-30,230.451111111111,463.922222222222,6.55777777777778,11.0388048064652,2019-07-30 19:30:00,108.161553705249,11.0388048064652,230.451111111111,463.922222222222,6.55777777777778
"122","VAUL",2019-07-30 19:45:00,108.562895277439,2019-07-30,230.557777777778,463.744444444444,6.35,11.0170219625421,2019-07-30 19:45:00,108.562895277439,11.0170219625421,230.557777777778,463.744444444444,6.35
"123","VAUL",2019-07-30 20:00:00,108.161553705249,2019-07-30,230.61,463.6,6.35555555555556,11.0199655900993,2019-07-30 20:00:00,108.161553705249,11.0199655900993,230.61,463.6,6.35555555555556
"124","VAUL",2019-07-30 20:15:00,108.562895277439,2019-07-30,230.63,463.433333333333,6.36666666666667,11.0335062768622,2019-07-30 20:15:00,108.562895277439,11.0335062768622,230.63,463.433333333333,6.36666666666667
"125","VAUL",2019-07-30 20:30:00,108.763566063534,2019-07-30,230.594444444444,463.411111111111,6.40222222222222,11.0134896094734,2019-07-30 20:30:00,108.763566063534,11.0134896094734,230.594444444444,463.411111111111,6.40222222222222
"126","VAUL",2019-07-30 20:45:00,108.562895277439,2019-07-30,230.502222222222,463.377777777778,6.27555555555556,11.0647087289684,2019-07-30 20:45:00,108.562895277439,11.0647087289684,230.502222222222,463.377777777778,6.27555555555556
"127","VAUL",2019-07-30 21:00:00,108.562895277439,2019-07-30,230.42,463.166666666667,6.35222222222222,11.0176106880535,2019-07-30 21:00:00,108.562895277439,11.0176106880535,230.42,463.166666666667,6.35222222222222
"128","VAUL",2019-07-30 21:15:00,108.763566063534,2019-07-30,230.292222222222,462.944444444444,6.38222222222222,10.9922954910617,2019-07-30 21:15:00,108.763566063534,10.9922954910617,230.292222222222,462.944444444444,6.38222222222222
