...1,storm.num,storm_start,storm_end,duration_days,total_storm_ppt,intensity,prev7,prev30,site.ID
1,storm10,2020-08-25,2020-08-27,3,8.8,2.93333333333333,18.6,148.1,VAUL
2,storm11,2020-08-27,2020-08-31,5,13.8,2.76,26.2,144.3,VAUL
3,storm12,2020-09-01,2020-09-03,3,15.1,5.03333333333333,21.4,155.9,VAUL
4,storm13,2020-09-03,2020-09-05,3,34.3,11.4333333333333,28.9,112.8,VAUL
5,storm14,2020-09-07,2020-09-09,3,22.3,7.43333333333333,50.6,144.9,VAUL
6,storm1a,2020-06-19,2020-06-20,2,12.8,6.4,18,18.2,VAUL
7,storm1b,2020-06-20,2020-06-23,4,85.2,21.3,26.6,26.8,VAUL
8,storm1c,2020-06-23,2020-06-27,5,39.9,7.98,67.5,85.1,VAUL
9,storm3,2020-07-09,2020-07-13,5,33.1,6.62,52,194.1,VAUL
10,storm4,2020-07-13,2020-07-16,4,39.4,9.85,71.7,213.6,VAUL
11,storm6a,2020-08-02,2020-08-03,2,58.2,29.1,13.6,194.7,VAUL
12,storm6b,2020-08-03,2020-08-08,6,30.4,5.06666666666667,45.2,228.5,VAUL
13,storm8,2020-08-11,2020-08-12,2,24.7,12.35,27.8,209,VAUL
1,storm1a,2021-07-23,2021-07-27,5,75.2,15.04,0,7.4,VAUL
2,storm1b,2021-07-27,2021-07-30,4,13.4,3.35,74.6,81.6,VAUL
3,storm3,2021-08-08,2021-08-15,8,51.2,6.4,8.4,101.4,VAUL
4,storm4a,2021-08-15,2021-08-20,6,40.8,6.8,45.8,142.2,VAUL
5,storm4b,2021-08-20,2021-08-23,4,15.8,3.95,32.8,172.4,VAUL
6,storm5a,2021-08-23,2021-08-31,9,35.2,3.91111111111111,35.8,180.6,VAUL
1,storm1,2022-08-01,2022-08-03,3,7.62,2.54,8.382,45.593,VAUL
2,storm2,2022-09-14,2022-09-22,9,21.971,2.44122222222222,13.462,48.261,VAUL
