"","site.ID","Q","datetimeAK","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","ABS_254","MeanDischarge","DateTime"
"3337","FRCH",1921.24969446615,2020-07-08 18:00:00,116.75264871004,54.5636363636364,65.8490909090909,NA,NA,1921.24969446615,2020-07-08 18:00:00
"3338","FRCH",1896.22400001165,2020-07-08 18:15:00,116.338837457471,54.5636363636364,61.3627272727273,NA,NA,1896.22400001165,2020-07-08 18:15:00
"3339","FRCH",1991.11927414543,2020-07-08 18:30:00,116.280817089189,54.5545454545455,63.8281818181818,NA,NA,1991.11927414543,2020-07-08 18:30:00
"3340","FRCH",1952.99593774634,2020-07-08 18:45:00,115.787530699518,54.5363636363636,64.5927272727273,NA,NA,1952.99593774634,2020-07-08 18:45:00
"3341","FRCH",1938.90712804932,2020-07-08 19:00:00,115.851120269301,54.5090909090909,71.85,NA,NA,1938.90712804932,2020-07-08 19:00:00
"3342","FRCH",1929.80704408063,2020-07-08 19:15:00,115.603788000738,54.5,66.5145454545455,NA,NA,1929.80704408063,2020-07-08 19:15:00
"3343","FRCH",1917.88467450862,2020-07-08 19:30:00,115.975803211573,54.5181818181818,66.3718181818182,NA,NA,1917.88467450862,2020-07-08 19:30:00
"3344","FRCH",1921.50868396169,2020-07-08 19:45:00,116.190720705739,54.5,71.3527272727273,NA,NA,1921.50868396169,2020-07-08 19:45:00
"3345","FRCH",1830.08499608874,2020-07-08 20:00:00,115.859544682764,54.4727272727273,64.9490909090909,NA,NA,1830.08499608874,2020-07-08 20:00:00
"3346","FRCH",1876.74941596887,2020-07-08 20:15:00,115.743162165908,54.5,70.4590909090909,NA,NA,1876.74941596887,2020-07-08 20:15:00
"3347","FRCH",1777.66476720057,2020-07-08 20:30:00,115.506070061491,54.5,67.6363636363636,NA,NA,1777.66476720057,2020-07-08 20:30:00
"3348","FRCH",1842.44493042077,2020-07-08 20:45:00,115.027314586987,54.4818181818182,69.3127272727273,NA,NA,1842.44493042077,2020-07-08 20:45:00
"3349","FRCH",1848.76975808163,2020-07-08 21:00:00,114.70365958424,54.4818181818182,67.5145454545455,NA,NA,1848.76975808163,2020-07-08 21:00:00
